burnout_level,profile_type,high_burnout,age_norm,experience_years_norm,daily_work_hours_norm,sleep_hours_norm,caffeine_intake_norm,bugs_per_day_norm,commits_per_day_norm,meetings_per_day_norm,screen_time_norm,exercise_hours_norm,stress_level_norm,sleep_quality_norm,workload_index_norm,age_scaled_norm,experience_years_scaled_norm,daily_work_hours_scaled_norm,sleep_hours_scaled_norm,caffeine_intake_scaled_norm,bugs_per_day_scaled_norm,commits_per_day_scaled_norm,meetings_per_day_scaled_norm,screen_time_scaled_norm,exercise_hours_scaled_norm,stress_level_scaled_norm
Low,Riesgo,0,0.875,0.84211,0.145,0.706,0.42857,0.47368,0.44828,0.66667,0.15012,0.9,0.2851,0.60058,0.42736,0.875,0.84211,0.145,0.706,0.42857,0.47368,0.44828,0.66667,0.15012,0.9,0.2851
High,Riesgo,1,0.83333,0.52632,0.837,0.322,0.57143,0.78947,0.17241,0.0,0.92371,0.125,0.852,0.0895,0.27765,0.83333,0.52632,0.837,0.322,0.57143,0.78947,0.17241,0.0,0.92371,0.125,0.852
Medium,Riesgo,0,0.04167,0.05263,0.016,0.33,0.28571,0.84211,0.03448,0.88889,0.14356,0.725,0.5103,0.40759,0.18862,0.04167,0.05263,0.016,0.33,0.28571,0.84211,0.03448,0.88889,0.14356,0.725,0.5103
Medium,Riesgo,0,0.95833,0.78947,0.646,0.564,0.71429,0.31579,0.0,0.77778,0.62182,0.61,0.6445,0.23881,0.27955,0.95833,0.78947,0.646,0.564,0.71429,0.31579,0.0,0.77778,0.62182,0.61,0.6445
Low,Riesgo,0,0.45833,0.05263,0.435,0.852,0.14286,0.52632,0.24138,0.0,0.50533,0.805,0.1979,0.38758,0.23493,0.45833,0.05263,0.435,0.852,0.14286,0.52632,0.24138,0.0,0.50533,0.805,0.1979
Medium,Riesgo,0,0.20833,0.94737,0.201,0.386,0.0,0.84211,0.31034,1.0,0.32486,0.54,0.3707,0.30834,0.41806,0.20833,0.94737,0.201,0.386,0.0,0.84211,0.31034,1.0,0.32486,0.54,0.3707
Low,Riesgo,0,0.04167,0.94737,0.108,0.062,0.57143,0.21053,0.65517,0.0,0.07465,0.63,0.1968,0.31443,0.41954,0.04167,0.94737,0.108,0.062,0.57143,0.21053,0.65517,0.0,0.07465,0.63,0.1968
Low,Riesgo,0,0.83333,0.78947,0.44,0.374,0.28571,0.0,0.58621,0.11111,0.53733,0.965,0.2768,0.20709,0.4686,0.83333,0.78947,0.44,0.374,0.28571,0.0,0.58621,0.11111,0.53733,0.965,0.2768
Low,Riesgo,0,0.0,0.94737,0.123,0.208,0.71429,0.10526,0.65517,0.11111,0.26825,0.09,0.2793,0.26197,0.44386,0.0,0.94737,0.123,0.208,0.71429,0.10526,0.65517,0.11111,0.26825,0.09,0.2793
Medium,Riesgo,0,0.45833,0.42105,0.486,0.94,0.57143,0.78947,0.34483,0.55556,0.65546,0.105,0.463,0.34302,0.41489,0.45833,0.42105,0.486,0.94,0.57143,0.78947,0.34483,0.55556,0.65546,0.105,0.463
Medium,Riesgo,0,0.875,0.0,0.625,0.698,0.14286,0.73684,0.58621,0.0,0.74159,0.395,0.4395,0.23768,0.48657,0.875,0.0,0.625,0.698,0.14286,0.73684,0.58621,0.0,0.74159,0.395,0.4395
Medium,Riesgo,0,0.45833,0.47368,0.827,0.05,0.28571,0.15789,0.89655,0.33333,0.83265,0.475,0.5611,0.03467,0.78304,0.45833,0.47368,0.827,0.05,0.28571,0.15789,0.89655,0.33333,0.83265,0.475,0.5611
High,Riesgo,1,1.0,0.94737,0.679,0.292,1.0,0.57895,0.51724,0.66667,0.72026,0.2,0.8965,0.12575,0.58258,1.0,0.94737,0.679,0.292,1.0,0.57895,0.51724,0.66667,0.72026,0.2,0.8965
Medium,Riesgo,0,0.66667,0.0,0.065,0.05,0.57143,0.0,0.13793,0.88889,0.29286,0.085,0.3884,0.17932,0.26242,0.66667,0.0,0.065,0.05,0.57143,0.0,0.13793,0.88889,0.29286,0.085,0.3884
Medium,Riesgo,0,0.375,0.05263,0.307,0.83,0.28571,0.84211,0.2069,1.0,0.49877,0.02,0.3543,0.38338,0.37704,0.375,0.05263,0.307,0.83,0.28571,0.84211,0.2069,1.0,0.49877,0.02,0.3543
Low,Riesgo,0,0.625,0.78947,0.288,0.906,1.0,0.73684,0.48276,0.22222,0.43724,0.765,0.3034,0.44755,0.39416,0.625,0.78947,0.288,0.906,1.0,0.73684,0.48276,0.22222,0.43724,0.765,0.3034
High,Riesgo,1,0.58333,0.57895,0.915,0.112,0.28571,1.0,0.03448,0.33333,0.93191,0.485,0.9003,0.03506,0.273,0.58333,0.57895,0.915,0.112,0.28571,1.0,0.03448,0.33333,0.93191,0.485,0.9003
High,Riesgo,1,0.58333,0.36842,0.868,0.44,0.57143,1.0,0.34483,0.44444,0.67842,0.845,0.8165,0.18144,0.47452,0.58333,0.36842,0.868,0.44,0.57143,1.0,0.34483,0.44444,0.67842,0.845,0.8165
Low,Riesgo,0,0.75,0.89474,0.37,0.932,0.28571,0.47368,0.41379,0.44444,0.50533,0.36,0.53795,0.41577,0.4115,0.75,0.89474,0.37,0.932,0.28571,0.47368,0.41379,0.44444,0.50533,0.36,0.53795
Low,Riesgo,0,0.45833,0.05263,0.071,0.146,0.14286,0.52632,0.65517,0.11111,0.07055,0.705,0.1783,0.36765,0.43286,0.45833,0.05263,0.071,0.146,0.14286,0.52632,0.65517,0.11111,0.07055,0.705,0.1783
High,Riesgo,1,0.5,0.63158,0.894,0.292,0.57143,0.89474,0.7931,0.44444,0.84824,0.49,0.8957,0.0967,0.75492,0.5,0.63158,0.894,0.292,0.57143,0.89474,0.7931,0.44444,0.84824,0.49,0.8957
High,Riesgo,1,0.79167,0.26316,0.888,0.304,0.71429,0.05263,0.93103,1.0,0.79081,0.61,0.8311,0.11239,0.94396,0.79167,0.26316,0.888,0.304,0.71429,0.05263,0.93103,1.0,0.79081,0.61,0.8311
High,Riesgo,1,1.0,0.26316,0.855,0.03,0.85714,0.26316,0.51724,0.0,0.74405,0.37,0.7609,0.04445,0.49292,1.0,0.26316,0.855,0.03,0.85714,0.26316,0.51724,0.0,0.74405,0.37,0.7609
High,Riesgo,1,0.08333,0.42105,0.845,0.036,0.57143,0.78947,1.0,0.66667,0.72436,0.08,0.9913,0.04987,0.91372,0.08333,0.42105,0.845,0.036,0.57143,0.78947,1.0,0.66667,0.72436,0.08,0.9913
Low,Riesgo,0,0.16667,0.78947,0.48,0.952,0.14286,0.31579,0.44828,0.44444,0.60377,0.945,0.3136,0.37072,0.45591,0.16667,0.78947,0.48,0.952,0.14286,0.31579,0.44828,0.44444,0.60377,0.945,0.3136
Medium,Riesgo,0,0.5,0.52632,0.177,0.572,0.14286,0.94737,0.2069,0.55556,0.32732,0.835,0.5025,0.38561,0.26496,0.5,0.52632,0.177,0.572,0.14286,0.94737,0.2069,0.55556,0.32732,0.835,0.5025
High,Riesgo,1,0.25,0.31579,0.477,0.306,0.14286,0.57895,0.2069,0.88889,0.49221,0.31,0.8033,0.20001,0.39184,0.25,0.31579,0.477,0.306,0.14286,0.57895,0.2069,0.88889,0.49221,0.31,0.8033
High,Riesgo,1,0.83333,0.47368,0.495,0.378,1.0,0.89474,0.37931,0.22222,0.55373,0.96,0.723,0.20253,0.3745,0.83333,0.47368,0.495,0.378,1.0,0.89474,0.37931,0.22222,0.55373,0.96,0.723
Medium,Riesgo,0,0.33333,0.47368,0.49,0.714,0.71429,0.47368,0.37931,0.0,0.50533,0.3,0.5988,0.33894,0.33115,0.33333,0.47368,0.49,0.714,0.71429,0.47368,0.37931,0.0,0.50533,0.3,0.5988
Medium,Riesgo,0,0.25,1.0,0.539,0.366,0.71429,0.31579,0.65517,0.77778,0.50205,0.445,0.6916,0.21757,0.6587,0.25,1.0,0.539,0.366,0.71429,0.31579,0.65517,0.77778,0.50205,0.445,0.6916
Low,Riesgo,0,0.70833,0.52632,0.258,0.228,0.85714,0.15789,0.0,0.11111,0.32158,0.755,0.0961,0.24295,0.07063,0.70833,0.52632,0.258,0.228,0.85714,0.15789,0.0,0.11111,0.32158,0.755,0.0961
,Riesgo,0,0.125,1.0,0.366,0.102,0.85714,0.84211,0.75862,0.11111,0.40443,0.31,0.7759,0.15643,0.55868,0.125,1.0,0.366,0.102,0.85714,0.84211,0.75862,0.11111,0.40443,0.31,0.7759
High,Riesgo,1,1.0,0.42105,0.434,0.728,0.28571,0.84211,0.17241,1.0,0.59229,0.325,0.8009,0.30334,0.38274,1.0,0.42105,0.434,0.728,0.28571,0.84211,0.17241,1.0,0.59229,0.325,0.8009
Low,Riesgo,0,0.54167,0.73684,0.131,0.18,0.28571,0.15789,0.24138,0.33333,0.15258,0.41,0.3084,0.32106,0.23409,0.54167,0.73684,0.131,0.18,0.28571,0.15789,0.24138,0.33333,0.15258,0.41,0.3084
Low,Riesgo,0,0.70833,0.15789,0.455,0.07,0.42857,0.21053,0.89655,0.44444,0.62674,0.47,0.3353,0.08069,0.72552,0.70833,0.15789,0.455,0.07,0.42857,0.21053,0.89655,0.44444,0.62674,0.47,0.3353
Medium,Riesgo,0,0.33333,0.36842,0.81,0.426,0.85714,0.0,0.41379,0.0,0.69401,0.125,0.5767,0.17258,0.41996,0.33333,0.36842,0.81,0.426,0.85714,0.0,0.41379,0.0,0.69401,0.125,0.5767
High,Riesgo,1,0.83333,0.42105,0.828,0.04,0.85714,0.94737,0.48276,0.22222,0.64479,0.015,1.0,0.06722,0.50835,0.83333,0.42105,0.828,0.04,0.85714,0.94737,0.48276,0.22222,0.64479,0.015,1.0
,Riesgo,0,0.04167,0.63158,0.412,0.964,0.28571,0.52632,0.7931,0.77778,0.3306,0.51,0.2713,0.54864,0.71643,0.04167,0.63158,0.412,0.964,0.28571,0.52632,0.7931,0.77778,0.3306,0.51,0.2713
Medium,Riesgo,0,0.79167,0.42105,0.519,0.628,0.14286,0.0,0.31034,0.55556,0.49467,0.355,0.3793,0.31371,0.40072,0.79167,0.42105,0.519,0.628,0.14286,0.0,0.31034,0.55556,0.49467,0.355,0.3793
Low,Riesgo,0,0.58333,0.52632,0.034,0.152,0.42857,0.36842,0.89655,0.22222,0.17063,0.1,0.3059,0.294,0.59421,0.58333,0.52632,0.034,0.152,0.42857,0.36842,0.89655,0.22222,0.17063,0.1,0.3059
Medium,Riesgo,0,0.25,0.84211,0.674,0.172,0.85714,0.15789,0.44828,0.66667,0.65217,0.76,0.6275,0.10653,0.53923,0.25,0.84211,0.674,0.172,0.85714,0.15789,0.44828,0.66667,0.65217,0.76,0.6275
Medium,Riesgo,0,0.45833,0.78947,0.405,0.57,0.14286,0.47368,0.7931,0.55556,0.38556,0.295,0.5406,0.34917,0.67266,0.45833,0.78947,0.405,0.57,0.14286,0.47368,0.7931,0.55556,0.38556,0.295,0.5406
Medium,Riesgo,0,0.29167,0.73684,0.445,0.356,0.0,0.84211,0.27586,0.44444,0.47908,0.51,0.4229,0.22304,0.34278,0.29167,0.73684,0.445,0.356,0.0,0.84211,0.27586,0.44444,0.47908,0.51,0.4229
High,Riesgo,1,0.58333,0.10526,0.874,0.774,1.0,0.89474,0.55172,0.77778,0.92207,0.965,0.9088,0.2044,0.6661,0.58333,0.10526,0.874,0.774,1.0,0.89474,0.55172,0.77778,0.92207,0.965,0.9088
Medium,Riesgo,0,0.08333,1.0,0.462,0.546,0.85714,0.10526,0.06897,0.77778,0.58409,0.92,0.5174,0.24716,0.28294,0.08333,1.0,0.462,0.546,0.85714,0.10526,0.06897,0.77778,0.58409,0.92,0.5174
Medium,Riesgo,0,0.54167,0.21053,0.021,0.434,0.71429,0.89474,0.37931,0.22222,0.18458,0.105,0.3708,0.42692,0.27427,0.54167,0.21053,0.021,0.434,0.71429,0.89474,0.37931,0.22222,0.18458,0.105,0.3708
Low,Riesgo,0,0.66667,0.21053,0.227,0.962,0.57143,0.31579,0.37931,0.77778,0.42822,0.9,0.2754,0.47467,0.42356,0.66667,0.21053,0.227,0.962,0.57143,0.31579,0.37931,0.77778,0.42822,0.9,0.2754
Medium,Riesgo,0,0.5,1.0,0.476,0.39,0.0,0.84211,0.34483,1.0,0.51354,0.89,0.6502,0.22156,0.49736,0.5,1.0,0.476,0.39,0.0,0.84211,0.34483,1.0,0.51354,0.89,0.6502
High,Riesgo,1,0.70833,0.73684,0.424,0.4,0.71429,0.89474,0.72414,0.88889,0.27974,0.635,0.7456,0.34153,0.69782,0.70833,0.73684,0.424,0.4,0.71429,0.89474,0.72414,0.88889,0.27974,0.635,0.7456
High,Riesgo,1,0.29167,0.89474,0.86,0.666,0.71429,1.0,0.96552,1.0,0.73011,0.53,0.8501,0.2322,0.95919,0.29167,0.89474,0.86,0.666,0.71429,1.0,0.96552,1.0,0.73011,0.53,0.8501
Medium,Riesgo,0,0.125,0.73684,0.542,0.81,1.0,0.36842,0.10345,0.22222,0.48154,0.215,0.5335,0.3857,0.21527,0.125,0.73684,0.542,0.81,1.0,0.36842,0.10345,0.22222,0.48154,0.215,0.5335
Medium,Riesgo,0,0.04167,0.05263,0.69,0.626,0.14286,0.52632,0.24138,0.77778,0.67514,0.12,0.6797,0.23899,0.43688,0.04167,0.05263,0.69,0.626,0.14286,0.52632,0.24138,0.77778,0.67514,0.12,0.6797
Low,Riesgo,0,0.20833,0.63158,0.469,0.698,0.28571,0.10526,0.31034,0.77778,0.61116,0.605,0.2827,0.28571,0.43244,0.20833,0.63158,0.469,0.698,0.28571,0.10526,0.31034,0.77778,0.61116,0.605,0.2827
Medium,Riesgo,0,0.875,0.15789,0.44,0.372,0.57143,0.31579,0.44828,0.66667,0.56522,0.82,0.6033,0.19649,0.48974,0.875,0.15789,0.44,0.372,0.57143,0.31579,0.44828,0.66667,0.56522,0.82,0.6033
High,Riesgo,1,0.375,0.47368,0.446,0.48,0.28571,0.73684,1.0,0.77778,0.37162,0.69,0.7137,0.32103,0.8505,0.375,0.47368,0.446,0.48,0.28571,0.73684,1.0,0.77778,0.37162,0.69,0.7137
Medium,Riesgo,0,0.125,0.63158,0.411,0.198,0.28571,0.47368,0.0,0.0,0.43724,0.18,0.4012,0.18104,0.08184,0.125,0.63158,0.411,0.198,0.28571,0.47368,0.0,0.0,0.43724,0.18,0.4012
Medium,Riesgo,0,0.875,0.47368,0.539,0.68,0.85714,0.57895,0.37931,0.22222,0.58819,0.29,0.6695,0.28941,0.3838,0.875,0.47368,0.539,0.68,0.85714,0.57895,0.37931,0.22222,0.58819,0.29,0.6695
Medium,Riesgo,0,0.70833,0.42105,0.25,0.222,0.57143,0.57895,0.13793,0.55556,0.45857,0.545,0.6744,0.18204,0.23811,0.70833,0.42105,0.25,0.222,0.57143,0.57895,0.13793,0.55556,0.45857,0.545,0.6744
High,Riesgo,1,0.45833,0.36842,0.891,0.002,0.57143,0.94737,0.44828,0.66667,0.67104,0.625,0.9485,0.05006,0.58511,0.45833,0.36842,0.891,0.002,0.57143,0.94737,0.44828,0.66667,0.67104,0.625,0.9485
Medium,Riesgo,0,0.04167,0.10526,0.333,0.934,0.0,0.94737,0.10345,0.66667,0.35521,0.07,0.4412,0.51642,0.25566,0.04167,0.10526,0.333,0.934,0.0,0.94737,0.10345,0.66667,0.35521,0.07,0.4412
Low,Riesgo,0,0.375,0.78947,0.148,0.306,0.14286,0.73684,0.93103,0.55556,0.3749,0.615,0.2181,0.24938,0.7029,0.375,0.78947,0.148,0.306,0.14286,0.73684,0.93103,0.55556,0.3749,0.615,0.2181
Low,Riesgo,0,0.125,0.68421,0.097,0.196,0.28571,0.21053,0.55172,0.33333,0.32978,0.735,0.1149,0.22543,0.41721,0.125,0.68421,0.097,0.196,0.28571,0.21053,0.55172,0.33333,0.32978,0.735,0.1149
Medium,Riesgo,0,0.54167,0.42105,0.013,0.268,1.0,0.63158,0.86207,0.44444,0.0484,0.18,0.4362,0.46317,0.61091,0.54167,0.42105,0.013,0.268,1.0,0.63158,0.86207,0.44444,0.0484,0.18,0.4362
Medium,Riesgo,0,0.625,0.52632,0.423,0.33,0.14286,0.42105,0.72414,0.88889,0.27646,0.245,0.4179,0.31222,0.69761,0.625,0.52632,0.423,0.33,0.14286,0.42105,0.72414,0.88889,0.27646,0.245,0.4179
Low,Riesgo,0,0.58333,0.10526,0.188,0.474,0.14286,0.47368,0.86207,0.0,0.27646,0.26,0.1294,0.37681,0.56333,0.58333,0.10526,0.188,0.474,0.14286,0.47368,0.86207,0.0,0.27646,0.26,0.1294
Low,Riesgo,0,0.29167,0.21053,0.022,0.07,1.0,0.36842,0.41379,0.11111,0.23216,0.94,0.327,0.21735,0.27448,0.29167,0.21053,0.022,0.07,1.0,0.36842,0.41379,0.11111,0.23216,0.94,0.327
Medium,Riesgo,0,0.54167,0.47368,0.52,0.052,0.85714,0.42105,0.06897,0.44444,0.46267,0.405,0.6755,0.11813,0.23176,0.54167,0.47368,0.52,0.052,0.85714,0.42105,0.06897,0.44444,0.46267,0.405,0.6755
Medium,Riesgo,0,0.5,0.63158,0.68,0.292,0.42857,0.26316,0.34483,0.44444,0.79409,0.53,0.4726,0.10832,0.43476,0.5,0.63158,0.68,0.292,0.42857,0.26316,0.34483,0.44444,0.79409,0.53,0.4726
Medium,Riesgo,0,1.0,0.15789,0.086,0.296,0.0,0.89474,0.34483,0.66667,0.10911,0.725,0.5952,0.41942,0.35145,1.0,0.15789,0.086,0.296,0.0,0.89474,0.34483,0.66667,0.10911,0.725,0.5952
Medium,Riesgo,0,0.29167,0.63158,0.461,0.118,0.28571,0.47368,0.13793,0.77778,0.50779,0.37,0.5052,0.12816,0.32502,0.29167,0.63158,0.461,0.118,0.28571,0.47368,0.13793,0.77778,0.50779,0.37,0.5052
High,Riesgo,1,0.83333,0.57895,0.744,0.404,0.71429,0.73684,0.17241,1.0,0.77687,0.105,1.0,0.14369,0.4483,0.83333,0.57895,0.744,0.404,0.71429,0.73684,0.17241,1.0,0.77687,0.105,1.0
High,Riesgo,1,0.625,0.21053,0.986,0.284,0.57143,0.63158,0.10345,0.55556,0.85152,0.655,0.8575,0.09389,0.37259,0.625,0.21053,0.986,0.284,0.57143,0.63158,0.10345,0.55556,0.85152,0.655,0.8575
High,Riesgo,1,0.5,0.47368,0.667,0.026,0.57143,0.52632,0.31034,0.55556,0.59229,0.665,0.7413,0.07456,0.43202,0.5,0.47368,0.667,0.026,0.57143,0.52632,0.31034,0.55556,0.59229,0.665,0.7413
Low,Riesgo,0,0.70833,0.42105,0.245,0.886,0.14286,0.05263,0.31034,0.44444,0.28466,0.26,0.1494,0.55429,0.32163,0.70833,0.42105,0.245,0.886,0.14286,0.05263,0.31034,0.44444,0.28466,0.26,0.1494
High,Riesgo,1,0.58333,1.0,0.717,0.886,1.0,0.36842,0.37931,0.44444,0.79163,0.035,0.7375,0.27396,0.46373,0.58333,1.0,0.717,0.886,1.0,0.36842,0.37931,0.44444,0.79163,0.035,0.7375
High,Riesgo,1,0.83333,0.31579,0.598,0.21,0.0,0.89474,0.72414,0.77778,0.45283,0.665,0.8514,0.17973,0.71347,0.83333,0.31579,0.598,0.21,0.0,0.89474,0.72414,0.77778,0.45283,0.665,0.8514
Low,Riesgo,0,0.95833,0.05263,0.212,0.162,0.0,0.10526,0.75862,0.44444,0.31091,0.705,0.3125,0.21985,0.58955,0.95833,0.05263,0.212,0.162,0.0,0.10526,0.75862,0.44444,0.31091,0.705,0.3125
Medium,Riesgo,0,1.0,0.31579,0.851,0.548,0.28571,0.10526,0.58621,0.55556,0.84988,0.025,0.4816,0.16457,0.64009,1.0,0.31579,0.851,0.548,0.28571,0.10526,0.58621,0.55556,0.84988,0.025,0.4816
Low,Riesgo,0,0.5,0.36842,0.427,0.63,0.28571,0.31579,1.0,0.22222,0.46267,0.695,0.2492,0.33031,0.74075,0.5,0.36842,0.427,0.63,0.28571,0.31579,1.0,0.22222,0.46267,0.695,0.2492
Medium,Riesgo,0,0.33333,0.31579,0.962,0.958,0.14286,0.89474,0.48276,0.44444,1.0,0.94,0.6208,0.22882,0.57898,0.33333,0.31579,0.962,0.958,0.14286,0.89474,0.48276,0.44444,1.0,0.94,0.6208
Medium,Riesgo,0,0.58333,0.68421,0.723,0.378,0.14286,0.42105,0.75862,0.88889,0.72026,0.18,0.5972,0.15099,0.78219,0.58333,0.68421,0.723,0.378,0.14286,0.42105,0.75862,0.88889,0.72026,0.18,0.5972
Medium,Riesgo,0,0.5,0.94737,0.645,0.618,0.14286,0.89474,0.75862,0.22222,0.66694,0.52,0.53795,0.23944,0.63882,0.5,0.94737,0.645,0.618,0.14286,0.89474,0.75862,0.22222,0.66694,0.52,0.53795
Low,Riesgo,0,0.0,0.21053,0.728,0.878,0.42857,0.0,0.58621,0.77778,0.72354,0.695,0.2331,0.29642,0.65638,0.0,0.21053,0.728,0.878,0.42857,0.0,0.58621,0.77778,0.72354,0.695,0.2331
Low,Riesgo,0,1.0,0.89474,0.478,0.45,0.0,0.15789,0.06897,0.66667,0.55865,0.23,0.3476,0.22496,0.26517,1.0,0.89474,0.478,0.45,0.0,0.15789,0.06897,0.66667,0.55865,0.23,0.3476
Low,Riesgo,0,0.25,1.0,0.505,0.122,0.14286,0.15789,0.06897,0.33333,0.38802,0.75,0.3082,0.1704,0.20744,0.25,1.0,0.505,0.122,0.14286,0.15789,0.06897,0.33333,0.38802,0.75,0.3082
High,Riesgo,1,0.33333,0.57895,0.851,0.378,0.85714,0.84211,0.0,0.44444,0.50533,0.87,0.8417,0.22053,0.25946,0.33333,0.57895,0.851,0.378,0.85714,0.84211,0.0,0.44444,0.50533,0.87,0.8417
Medium,Riesgo,0,0.95833,0.84211,0.681,0.136,0.0,0.05263,0.55172,0.77778,0.50205,0.815,0.3874,0.13626,0.62529,0.95833,0.84211,0.681,0.136,0.0,0.05263,0.55172,0.77778,0.50205,0.815,0.3874
High,Riesgo,1,0.0,0.63158,0.897,0.016,0.71429,0.73684,0.31034,1.0,0.87531,0.26,1.0,0.01897,0.56524,0.0,0.63158,0.897,0.016,0.71429,0.73684,0.31034,1.0,0.87531,0.26,1.0
High,Riesgo,1,0.45833,0.05263,0.891,0.752,0.57143,0.63158,0.89655,0.66667,0.86218,0.805,0.9411,0.21536,0.86001,0.45833,0.05263,0.891,0.752,0.57143,0.63158,0.89655,0.66667,0.86218,0.805,0.9411
High,Riesgo,1,0.29167,0.63158,0.976,0.238,0.57143,0.42105,0.17241,1.0,0.7982,0.415,0.9227,0.09247,0.49736,0.29167,0.63158,0.976,0.238,0.57143,0.42105,0.17241,1.0,0.7982,0.415,0.9227
Medium,Riesgo,0,0.95833,0.31579,0.7,0.002,0.0,0.31579,0.82759,1.0,0.51682,0.265,0.6648,0.08501,0.84077,0.95833,0.31579,0.7,0.002,0.0,0.31579,0.82759,1.0,0.51682,0.265,0.6648
Medium,Riesgo,0,0.41667,0.47368,0.502,0.872,0.71429,0.57895,0.82759,0.11111,0.3872,0.17,0.4732,0.4679,0.62973,0.41667,0.47368,0.502,0.872,0.71429,0.57895,0.82759,0.11111,0.3872,0.17,0.4732
